ABBREVIATIONS
==============
Common musical or audio terms are often used in shortened forms.
The following list may not be complete (and some entries may be used rarely or never):

amp		amplitude (loudness)
.ana	CDP spectral (frequency analysis) file (from PVOC)
anal.	analysis
atten	attenuation
ave		average
betw	between
bnk		bank (as in filter bank)
.brk,breakpt	breakpoint: type of textfile with 2 columns, normally  TIME  +  VALUE 
bt		beat
BPM		beats per minute (tempo)
chan(s)	channel(s)
col(s)	column(s)
.col	Soundshaper single-column text file
ct		count
cyc(s)	cycles
dB		decibels
dur / durn	duration
env / envel	envelope: loudness contour of sound
.env		breakpoint envelope file
esp.		especially
.evl		CDP binary envelope file
exagg		exaggerate
FFT		Fast Fourier Transform: used in PVOC to convert between sound and frequency files
filt / flt	filter
float(s)	floating-point
.for		CDP binary formant file (from .ana)
fmt		formant
freq / frq	frequency
.frq	CDP binary pitch file (from .ana: stores information about pitched components in sound)
grn		grain
grp		group
hi		high
hmc		harmonic
HPF		High Pass Filter (cut off lower frequencies)
Hz		Hertz (number of cycles per second, or frequency)
i/p		input
i/o		input-output
len		length
lev / levl	level (loudness)
lo		low
LPF		Low Pass Filter (cut off higher frequencies)
M		Mono
MM		beats per minute (= BPM)
max		maximum
m-c		multi-channel
mch / multichan	multi-channel
min		minimum
mins	minutes
.mix	CDP text file for mixing 
mod		modulation
ms / msecs	milliseconds
neg		negative (numbers)
no. / num	number
o/p		output
param(s) parameters
pch		pitch
.pch	breakpoint pitch file
pk		peak  (=loudness peak)
poss	possible/possibly
PVOC	Phase Vocoder: public-domain FFT convertor (sound <--> freq. domain)
Q		tightness of filter bands
Q or Quad	quadrophonic: 4-channel
rand	random
rel		relative
rpt		repeat
S		stereo
samp(s)	sample
sec(s)	second(s)  [time]
seg		segment
semi(s)	semitone(s)
sil		silence
S'file, Sndfile Sound File (.wav, .aif, aifc etc.)
SR		sample rate
temp	temporary
trans(p) transposition
trem	tremolo
.trn	CDP binary transposition file (from .frq)
.txt	textfile
val(s)	value(s)
vari	variable
var/varn variation
vib		vibrato
vn		version		
